"state","puma12","puma2k","intptlon","intptlat","pop10","afact","AFACT2"
"FIPS state","puma12","puma2k","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Total Pop, 2010 census","puma12 to puma2k alloc factor","puma2k to puma12 alloc factor"
"06","03741","06113",-118.174296,33.975588,141357,0.985121,0.999674 
"06","03753","06113",-118.134863,33.969895,46,0.000417,0.000325 
"06","03741","06114",-118.191102,33.984897,1922,0.013394,0.01397 
"06","03742","06114",-118.230923,33.973307,131781,1,0.957843 
"06","03752","06114",-118.227373,33.963365,3878,0.022631,0.028187 
"06","03741","06115",-118.172626,33.957092,200,0.001394,0.001194 
"06","03752","06115",-118.202082,33.936577,167279,0.976202,0.998561 
"06","03756","06115",-118.170197,33.913777,41,0.000349,0.000245 
"06","03755","06116",-118.116936,33.899284,13353,0.11017,0.102031 
"06","03756","06116",-118.14575,33.890179,117314,0.999599,0.896402 
