afactor,puma2000,czone
.565,300600,34403
.436,300600,34404
1,300700,34504
.053,310100,28304
.02,310100,28303
.018,310100,28302
.119,310100,27702
.565,310100,27701
.053,310100,27704
.12,310100,27001
.053,310100,27003
.299,310200,27801
.276,310200,27802
.192,310200,28001
.133,310200,28002
.1,310200,27005
.032,310300,28608
.745,310300,27903
.096,310300,27002
.119,310300,28305
.008,310300,27001
.018,310400,28304
.334,310400,28306
.112,310400,28302
.183,310400,28607
.007,310400,28305
.324,310400,28609
.021,310400,28606
.372,310500,27901
.045,310500,29102
.464,310500,28608
.119,310500,28609
.187,310600,27902
.061,310600,27802
.042,310600,29102
.43,310600,28101
.279,310600,28102
.999,310701,28202
1,310702,28202
1,310801,28101
1,310802,28101
1,310901,28202
1,310902,28202
1,310903,28202
1,310904,28202
1,320100,37604
1,320200,37604
.249,320300,37901
.15,320300,37602
.409,320300,37601
.158,320300,37604
.033,320300,37902
.313,320400,37400
.687,320400,37604
1,320501,37901
1,320502,37901
1,320503,37901
1,320504,37901
1,320505,37901
1,320506,37901
1,320507,37901
1,320508,37901
1,320509,37901
1,320510,37901
1,320511,37901
.712,330100,20302
.288,330100,20301
1,330200,20600
1,330300,20600
1,330400,20600
.646,330500,20700
.354,330500,20302
1,330600,20600
1,330700,20600
1,330800,20600
1,330900,20600
1,331000,20600
1,331100,20600
1,340101,19700
1,340102,19700
1,340200,19700
1,340301,19600
1,340302,19600
1,340303,19600
1,340304,19600
1,340305,19600
1,340306,19600
1,340400,19600
1,340501,19600
1,340502,19600
1,340601,19600
1,340602,19600
1,340701,19600
1,340702,19600
1,340703,19600
1,340800,19600
1,340901,19600
1,340902,19600
1,340903,19600
1,340904,19600
1,340905,19600
1,341001,19600
1,341002,19600
1,341101,19500
1,341102,19500
1,341103,19500
1,341104,19500
