czone,cty_fips,cty_pop,cty_labf
2300,51009,28578,13937
2300,51011,12298,6123
11304,51013,170936,11357
17300,51015,54677,28671
17300,51017,4799,2450
2300,51019,45656,24297
11201,51021,6514,2870
16600,51023,24992,13377
2200,51025,15987,6891
11201,51027,31333,11022
17600,51029,12873,5433
2300,51031,47572,25330
11301,51033,19217,9684
602,51035,26594,13226
2400,51036,6282,3330
2200,51037,11688,5507
2400,51041,209274,11799
17502,51043,12101,6352
16600,51045,4372,2205
17600,51047,27791,14168
2200,51049,7825,3739
11203,51051,17620,5916
2400,51053,20960,10934
11303,51057,8689,4297
11304,51059,818584,49905
11304,51061,48741,27262
16600,51063,12005,5923
17600,51065,12429,6421
16600,51067,39549,20720
17502,51069,45723,24986
16600,51071,16366,8126
2500,51073,30131,15224
2400,51075,14163,7278
602,51077,16278,8226
17600,51079,10297,5622
2600,51081,8853,4155
2200,51083,29033,14455
2400,51085,63306,35378
2400,51087,217881,12429
402,51089,56942,30681
17300,51091,2635,1333
2500,51093,25053,12610
2500,51095,34859,18571
2400,51097,6289,3058
11301,51099,13527,7319
2400,51101,10913,5677
11303,51103,10896,4774
11203,51105,24496,8841
11304,51107,86129,51881
17600,51109,20325,10151
2200,51111,11419,5370
17600,51113,11949,5807
2500,51115,8348,4022
2200,51117,29241,14011
2500,51119,8653,3997
16600,51121,73913,36486
17300,51125,12778,6131
2400,51127,10445,5520
19903,51131,13061,5575
11303,51133,10524,4550
2200,51135,14993,6557
17600,51137,21421,10820
17200,51139,21690,10406
402,51141,17473,9148
500,51143,55655,28758
2400,51145,15328,7369
2200,51147,17320,7554
2400,51149,27394,15037
11304,51153,215686,12835
16600,51155,34496,16944
11304,51157,6622,3525
11303,51159,7273,3451
16600,51161,79332,43620
17300,51163,18350,9102
17200,51165,57482,30859
11201,51167,28667,11548
100,51169,23204,9472
17200,51171,31636,16244
100,51173,32370,15336
2500,51175,17550,7964
11301,51177,57403,31042
11301,51179,61236,34462
2500,51181,6145,2888
2400,51183,10248,4858
11201,51185,45960,18446
11304,51187,26142,13572
100,51191,45887,22270
11303,51193,15480,7369
11203,51195,39573,15003
11201,51197,25466,12635
2500,51199,42422,22613
11304,51510,111183,75653
2300,51515,6073,2711
100,51520,18426,8451
17300,51530,6406,3149
17600,51540,40341,21281
2000,51550,151976,79979
17300,51560,4679,1853
2400,51570,16064,8535
17300,51580,6991,3094
500,51590,53056,25513
2600,51595,5306,2436
11304,51600,19622,12325
11304,51610,9578,5903
2500,51620,7864,3500
11301,51630,19027,10063
602,51640,6670,3358
2500,51650,133793,71440
17200,51660,30707,15493
2400,51670,23101,11509
17300,51678,6959,2732
2300,51680,66049,31515
